hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,is_repeated_guest,previous_cancellations,deposit_type,customer_type,adr,total_of_special_requests
Resort Hotel,0,106,2017,March,1,3,2,0.0,0,BB,PRT,Complementary,0,0,No Deposit,Transient,96.73,0
City Hotel,1,308,2017,January,3,5,1,0.0,0,BB,IRL,Direct,0,0,No Deposit,Transient,124.49,0
City Hotel,0,80,2017,April,0,1,2,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,96.49,1
City Hotel,0,21,2015,August,0,0,2,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,95.57,0
City Hotel,1,171,2016,December,1,3,3,0.0,0,BB,PRT,Groups,0,0,Non Refund,Transient,98.93,0
City Hotel,0,47,2017,June,0,5,1,0.0,0,BB,BEL,Online TA,1,0,No Deposit,Transient,119.21,0
City Hotel,1,157,2015,March,1,5,2,0.0,0,BB,BEL,Online TA,0,0,No Deposit,Transient,79.74,1
Resort Hotel,1,105,2016,September,1,1,1,0.0,0,BB,PRT,Offline TA/TO,0,0,Non Refund,Transient-Party,115.52,2
City Hotel,0,26,2015,December,1,3,2,0.0,0,SC,PRT,Groups,0,0,No Deposit,Transient-Party,111.43,0
Resort Hotel,0,164,2016,February,0,3,2,0.0,0,HB,IRL,Groups,0,0,No Deposit,Transient,72.52,1
City Hotel,1,144,2015,August,3,2,1,0.0,0,BB,ITA,Groups,0,0,Non Refund,Transient,173.81,0
City Hotel,0,112,2017,July,0,3,2,0.0,1,BB,PRT,Direct,0,0,No Deposit,Transient,101.31,2
City Hotel,0,126,2015,August,1,5,1,0.0,0,SC,PRT,Online TA,0,0,Non Refund,Transient,129.38,0
Resort Hotel,0,19,2017,May,1,4,2,0.0,0,SC,BEL,Groups,0,1,No Deposit,Transient-Party,105.51,2
City Hotel,0,133,2017,May,0,5,2,0.0,0,BB,PRT,Online TA,0,0,Non Refund,Transient,73.29,1
City Hotel,1,104,2017,October,1,2,2,0.0,0,BB,PRT,Online TA,0,0,Non Refund,Transient,125.11,1
City Hotel,0,305,2017,February,0,2,1,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,120.15,1
City Hotel,0,43,2016,August,3,3,2,0.0,0,SC,BEL,Online TA,0,0,Refundable,Transient,143.05,0
City Hotel,0,70,2016,June,1,2,2,0.0,0,FB,GBR,Online TA,0,0,No Deposit,Transient,139.89,0
Resort Hotel,1,16,2016,July,0,2,2,0.0,0,BB,FRA,Online TA,0,0,Non Refund,Transient,164.98,0
City Hotel,0,345,2015,November,1,2,1,0.0,0,BB,DEU,Groups,0,0,No Deposit,Transient,107.74,0
Resort Hotel,0,25,2016,September,1,1,3,0.0,0,BB,DEU,Offline TA/TO,0,3,No Deposit,Transient,170.45,0
City Hotel,0,68,2017,September,3,3,2,0.0,0,BB,FRA,Direct,0,0,No Deposit,Transient,152.74,0
Resort Hotel,1,263,2016,June,0,1,2,0.0,0,BB,DEU,Online TA,0,0,No Deposit,Transient,148.27,0
Resort Hotel,0,144,2016,August,0,5,2,0.0,0,Undefined,DEU,Online TA,0,0,No Deposit,Transient,145.7,0
City Hotel,0,80,2015,June,0,3,1,0.0,0,HB,ESP,Offline TA/TO,0,0,No Deposit,Transient,104.71,1
Resort Hotel,1,34,2016,June,2,4,1,2.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,180.7,0
Resort Hotel,0,15,2017,October,2,1,1,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,102.74,0
Resort Hotel,1,24,2016,July,0,4,2,0.0,0,Undefined,DEU,Offline TA/TO,0,1,Non Refund,Transient,127.85,0
City Hotel,0,69,2017,September,0,3,2,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,161.16,3
City Hotel,0,82,2016,July,1,5,2,0.0,0,SC,ITA,Online TA,0,1,No Deposit,Transient,115.05,1
City Hotel,1,239,2017,July,0,6,1,0.0,0,BB,NLD,Direct,0,0,Non Refund,Transient,153.47,0
Resort Hotel,0,32,2017,September,1,3,2,0.0,0,SC,DEU,Offline TA/TO,0,0,No Deposit,Transient,170.04,0
City Hotel,0,22,2017,May,1,4,2,0.0,0,BB,USA,Online TA,0,0,No Deposit,Transient,92.97,0
City Hotel,0,325,2017,October,0,0,2,0.0,0,HB,ESP,Online TA,0,0,No Deposit,Transient-Party,120.76,2
Resort Hotel,0,189,2017,August,1,2,2,0.0,0,SC,USA,Online TA,0,0,No Deposit,Transient,160.48,2
City Hotel,0,66,2016,April,0,2,1,0.0,0,HB,GBR,Direct,0,0,No Deposit,Transient,109.93,0
City Hotel,0,120,2016,August,0,0,2,0.0,0,BB,GBR,Groups,0,0,No Deposit,Transient,126.52,0
City Hotel,0,89,2016,October,1,2,2,0.0,0,FB,PRT,Online TA,0,0,No Deposit,Transient,101.5,0
City Hotel,0,30,2017,April,0,4,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,120.79,0
City Hotel,0,44,2016,May,0,3,2,0.0,0,FB,GBR,Direct,0,0,No Deposit,Transient-Party,108.76,3
City Hotel,1,59,2017,July,0,2,3,0.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient-Party,127.66,1
Resort Hotel,1,79,2016,April,0,1,2,0.0,0,BB,PRT,Online TA,1,0,No Deposit,Transient,91.26,0
City Hotel,0,264,2016,August,1,0,2,0.0,0,SC,GBR,Direct,0,0,No Deposit,Transient,127.6,0
City Hotel,1,6,2016,October,0,4,2,0.0,0,BB,PRT,Corporate,0,0,No Deposit,Transient,112.38,0
City Hotel,0,131,2017,June,0,3,2,0.0,0,BB,FRA,Online TA,0,0,No Deposit,Transient,119.56,0
Resort Hotel,0,29,2016,January,0,0,2,0.0,0,BB,PRT,Complementary,0,0,No Deposit,Transient,72.1,3
City Hotel,0,14,2016,May,0,0,2,0.0,0,SC,BEL,Online TA,0,0,No Deposit,Transient,93.94,0
City Hotel,1,154,2015,September,0,2,3,0.0,0,BB,DEU,Online TA,0,0,Non Refund,Transient-Party,136.03,0
City Hotel,0,38,2015,August,1,2,2,1.0,0,HB,PRT,Online TA,0,0,No Deposit,Transient-Party,121.43,0
City Hotel,0,65,2017,July,1,8,1,2.0,0,SC,GBR,Offline TA/TO,0,0,No Deposit,Transient,171.24,0
Resort Hotel,0,32,2017,September,0,3,2,0.0,0,BB,PRT,Groups,0,0,No Deposit,Transient,158.68,1
City Hotel,1,223,2016,December,0,1,2,0.0,0,HB,PRT,Online TA,0,0,No Deposit,Transient,92.57,0
City Hotel,1,55,2017,July,1,2,2,0.0,0,BB,USA,Groups,0,0,No Deposit,Transient,137.96,1
City Hotel,1,34,2016,April,3,7,1,0.0,0,HB,PRT,Direct,0,0,No Deposit,Transient,124.34,0
Resort Hotel,0,169,2016,September,3,2,2,0.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient,129.58,0
City Hotel,0,73,2017,March,2,3,2,0.0,0,BB,PRT,Direct,0,0,No Deposit,Transient-Party,102.71,1
City Hotel,1,162,2016,March,1,2,1,0.0,0,SC,DEU,Online TA,0,0,No Deposit,Transient-Party,100.29,0
Resort Hotel,1,67,2017,August,1,1,2,0.0,0,BB,PRT,Online TA,0,2,No Deposit,Transient,144.54,0
City Hotel,1,113,2016,April,0,2,1,1.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,88.17,0
City Hotel,0,44,2015,September,0,3,2,0.0,0,HB,BEL,Direct,0,0,No Deposit,Transient,137.68,1
Resort Hotel,0,120,2017,April,0,1,1,0.0,0,BB,FRA,Online TA,0,1,No Deposit,Transient,78.23,1
Resort Hotel,0,161,2016,June,0,3,2,0.0,0,BB,FRA,Corporate,0,0,No Deposit,Transient,140.56,0
City Hotel,1,38,2017,May,3,2,2,1.0,0,HB,PRT,Online TA,0,0,Non Refund,Transient,118.94,0
Resort Hotel,0,25,2017,April,4,4,2,2.0,0,SC,IRL,Offline TA/TO,0,0,No Deposit,Transient,106.28,0
City Hotel,1,59,2017,April,0,4,1,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,83.11,0
Resort Hotel,0,23,2015,August,2,0,1,0.0,0,SC,NLD,Corporate,0,0,No Deposit,Transient,142.17,1
Resort Hotel,0,36,2016,April,1,3,2,0.0,0,FB,IRL,Online TA,0,0,No Deposit,Transient,78.57,2
City Hotel,0,123,2017,August,1,1,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,126.89,0
City Hotel,1,47,2016,July,1,1,2,0.0,0,HB,GBR,Online TA,0,0,No Deposit,Transient,140.0,0
Resort Hotel,0,60,2016,April,1,4,3,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,63.21,0
City Hotel,0,78,2017,October,1,2,2,0.0,0,BB,PRT,Direct,0,0,No Deposit,Transient,121.91,0
City Hotel,1,89,2017,April,0,2,3,0.0,0,BB,FRA,Online TA,0,0,Non Refund,Transient,109.33,2
Resort Hotel,0,108,2017,November,0,1,2,2.0,0,BB,ESP,Offline TA/TO,0,0,No Deposit,Transient,84.81,1
City Hotel,0,41,2016,July,0,1,2,1.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient-Party,103.5,0
Resort Hotel,0,87,2017,September,0,2,2,0.0,0,BB,NLD,Corporate,0,0,No Deposit,Transient-Party,129.74,2
City Hotel,1,95,2015,December,1,2,3,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient-Party,88.86,0
City Hotel,0,14,2017,June,1,4,2,0.0,0,HB,ITA,Groups,0,0,No Deposit,Transient,154.73,0
City Hotel,0,12,2017,August,1,3,1,0.0,0,BB,DEU,Online TA,0,0,Non Refund,Transient-Party,143.85,2
City Hotel,0,205,2017,February,2,3,2,0.0,0,BB,ITA,Online TA,0,0,No Deposit,Transient,96.54,1
City Hotel,0,27,2015,September,0,2,2,0.0,0,FB,PRT,Direct,0,0,No Deposit,Transient,148.87,0
Resort Hotel,0,39,2017,February,0,5,1,0.0,0,BB,DEU,Offline TA/TO,0,0,No Deposit,Transient,74.52,0
City Hotel,0,34,2016,April,0,2,2,1.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,125.65,0
City Hotel,1,252,2016,September,0,4,2,0.0,0,BB,GBR,Online TA,0,0,Non Refund,Transient-Party,107.56,1
City Hotel,1,150,2017,August,0,4,2,0.0,0,SC,ITA,Online TA,0,0,No Deposit,Transient,118.17,0
Resort Hotel,0,127,2016,May,0,4,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,69.97,0
City Hotel,0,76,2015,March,1,1,2,0.0,0,SC,DEU,Online TA,0,0,No Deposit,Transient,119.29,3
Resort Hotel,0,57,2017,March,2,1,1,0.0,0,BB,PRT,Offline TA/TO,1,2,No Deposit,Transient-Party,102.52,2
City Hotel,0,74,2015,September,1,3,2,1.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,151.33,1
City Hotel,0,112,2017,April,1,5,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,136.21,0
Resort Hotel,0,123,2017,April,0,0,1,0.0,0,FB,FRA,Groups,0,0,No Deposit,Transient,79.58,1
Resort Hotel,0,64,2015,January,1,5,1,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,90.26,0
City Hotel,0,86,2016,July,1,3,2,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,125.42,0
City Hotel,0,92,2016,August,0,1,3,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,130.93,0
Resort Hotel,1,42,2016,November,1,3,2,0.0,0,BB,ESP,Offline TA/TO,0,0,No Deposit,Transient,82.54,0
City Hotel,1,117,2017,December,1,1,2,1.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,129.83,1
Resort Hotel,1,51,2015,April,0,3,2,0.0,0,SC,ESP,Online TA,0,0,No Deposit,Transient,107.3,0
City Hotel,0,229,2017,February,0,0,2,0.0,0,SC,FRA,Corporate,0,0,No Deposit,Transient,106.04,1
City Hotel,1,84,2015,June,0,2,2,1.0,0,BB,BEL,Offline TA/TO,0,0,No Deposit,Transient,136.92,2
City Hotel,0,225,2017,May,2,2,3,0.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient,102.53,0
Resort Hotel,0,80,2017,February,1,2,1,0.0,0,Undefined,ITA,Offline TA/TO,0,0,No Deposit,Transient,90.2,2
City Hotel,0,107,2016,October,0,4,2,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,126.65,0
Resort Hotel,0,21,2016,May,1,2,1,0.0,0,BB,FRA,Offline TA/TO,0,0,No Deposit,Transient,83.72,1
Resort Hotel,0,227,2015,September,0,0,1,0.0,0,SC,DEU,Online TA,0,0,No Deposit,Transient-Party,136.97,2
Resort Hotel,0,91,2017,May,1,2,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,92.63,1
City Hotel,0,57,2017,April,2,3,1,0.0,0,BB,FRA,Offline TA/TO,0,0,No Deposit,Transient,79.12,1
Resort Hotel,0,49,2017,May,0,1,3,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,65.81,2
City Hotel,0,178,2017,August,0,1,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,143.47,1
City Hotel,0,104,2017,May,2,1,2,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,107.58,1
City Hotel,1,15,2016,October,0,6,2,0.0,0,SC,NLD,Direct,0,0,No Deposit,Transient,94.77,0
City Hotel,0,70,2016,June,0,1,1,0.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient,115.91,0
City Hotel,1,28,2017,August,0,2,2,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,109.82,1
Resort Hotel,0,95,2017,June,3,1,1,0.0,0,FB,PRT,Groups,0,0,No Deposit,Transient,161.75,0
Resort Hotel,0,7,2017,August,4,4,2,2.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,165.83,0
City Hotel,0,109,2017,July,0,2,2,0.0,0,SC,BEL,Direct,0,0,No Deposit,Transient-Party,141.22,1
City Hotel,1,183,2015,December,0,3,2,0.0,0,BB,GBR,Groups,0,0,No Deposit,Transient,108.6,0
City Hotel,0,133,2017,August,2,3,2,0.0,0,BB,USA,Online TA,0,0,No Deposit,Transient-Party,148.21,1
City Hotel,1,149,2016,June,0,1,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,181.98,0
City Hotel,0,59,2015,August,0,2,3,1.0,0,BB,PRT,Groups,0,0,No Deposit,Transient-Party,141.39,0
City Hotel,1,150,2016,May,3,6,1,0.0,0,BB,FRA,Online TA,0,0,No Deposit,Transient-Party,114.03,0
Resort Hotel,0,120,2016,August,0,1,1,0.0,0,BB,NLD,Online TA,0,0,No Deposit,Transient,184.51,1
City Hotel,0,117,2017,April,1,4,1,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,103.97,2
City Hotel,0,83,2015,December,0,3,2,2.0,0,SC,IRL,Online TA,0,0,No Deposit,Transient,134.01,0
City Hotel,1,102,2016,October,0,4,2,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,105.54,0
City Hotel,0,83,2017,April,1,1,1,0.0,0,BB,DEU,Groups,0,0,No Deposit,Transient,97.93,0
City Hotel,0,65,2016,April,1,8,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,128.69,2
City Hotel,0,32,2015,July,0,1,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,137.94,0
Resort Hotel,0,38,2016,August,0,3,2,0.0,0,BB,DEU,Online TA,0,0,No Deposit,Transient,142.68,0
Resort Hotel,0,41,2016,May,1,1,2,0.0,0,SC,IRL,Corporate,0,0,No Deposit,Transient,74.93,1
Resort Hotel,1,153,2017,October,0,2,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,54.68,2
City Hotel,0,135,2017,February,1,0,2,2.0,0,BB,PRT,Direct,0,0,No Deposit,Transient,112.62,1
Resort Hotel,0,146,2016,July,5,5,1,1.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient,164.93,2
Resort Hotel,1,136,2017,June,0,2,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,151.22,0
Resort Hotel,0,81,2015,November,3,2,2,0.0,0,HB,FRA,Corporate,0,0,No Deposit,Transient,80.41,2
City Hotel,1,48,2017,September,1,2,3,0.0,0,BB,PRT,Offline TA/TO,0,0,Non Refund,Transient,125.53,1
Resort Hotel,0,42,2016,November,1,1,1,0.0,0,BB,PRT,Groups,0,0,No Deposit,Transient,76.99,0
City Hotel,0,84,2015,September,0,4,3,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,137.91,0
City Hotel,0,198,2017,March,2,1,2,0.0,0,BB,BEL,Online TA,0,0,No Deposit,Transient,120.23,0
City Hotel,0,38,2017,May,1,4,2,0.0,0,BB,GBR,Groups,0,0,No Deposit,Transient,99.87,0
City Hotel,0,180,2017,May,2,2,1,0.0,0,HB,ITA,Direct,0,0,No Deposit,Transient,93.17,0
City Hotel,1,50,2016,February,0,1,2,0.0,0,SC,FRA,Online TA,0,0,Non Refund,Transient,122.46,0
City Hotel,0,81,2016,October,0,3,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,95.8,0
City Hotel,0,124,2017,October,0,1,3,0.0,0,Undefined,PRT,Online TA,0,0,No Deposit,Transient,101.41,1
City Hotel,1,93,2016,September,3,2,1,0.0,0,HB,PRT,Online TA,0,0,Non Refund,Transient,141.38,1
City Hotel,0,102,2017,January,1,4,2,0.0,0,BB,PRT,Groups,0,0,No Deposit,Transient,102.79,1
City Hotel,0,272,2015,December,0,0,1,0.0,0,BB,GBR,Direct,0,0,No Deposit,Transient,102.58,0
Resort Hotel,1,58,2016,October,0,0,2,0.0,1,BB,USA,Online TA,0,0,Non Refund,Transient,106.37,0
City Hotel,0,52,2016,March,0,2,1,1.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,124.95,1
City Hotel,1,103,2016,May,2,2,1,2.0,0,FB,GBR,Direct,0,0,No Deposit,Contract,139.22,0
Resort Hotel,1,89,2017,August,0,2,3,0.0,0,BB,ESP,Groups,0,0,Non Refund,Transient-Party,127.07,0
City Hotel,0,58,2016,June,1,2,1,0.0,0,Undefined,ITA,Offline TA/TO,0,0,No Deposit,Transient,136.62,1
Resort Hotel,1,72,2017,April,0,0,2,0.0,0,SC,PRT,Online TA,0,0,Non Refund,Transient-Party,89.81,2
City Hotel,0,240,2016,August,0,4,2,0.0,0,Undefined,GBR,Groups,0,0,No Deposit,Group,168.07,1
City Hotel,0,108,2017,September,1,0,1,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,115.66,1
City Hotel,0,192,2017,March,1,2,2,0.0,0,BB,GBR,Complementary,1,0,No Deposit,Transient,94.48,0
City Hotel,1,85,2017,June,2,5,2,0.0,0,BB,FRA,Online TA,0,1,No Deposit,Transient,90.16,0
City Hotel,0,68,2016,November,2,2,1,2.0,0,BB,DEU,Online TA,0,0,No Deposit,Transient,129.13,2
Resort Hotel,1,214,2016,April,0,3,2,0.0,0,HB,GBR,Online TA,0,0,No Deposit,Transient,73.13,0
Resort Hotel,1,77,2016,February,0,2,2,0.0,0,FB,FRA,Online TA,0,0,Non Refund,Transient-Party,72.26,0
Resort Hotel,0,118,2016,September,1,3,3,0.0,0,BB,DEU,Online TA,0,0,No Deposit,Transient,109.04,0
City Hotel,0,130,2016,December,1,2,2,0.0,0,HB,ESP,Offline TA/TO,0,0,No Deposit,Transient,102.14,1
City Hotel,1,352,2016,July,1,3,1,0.0,0,BB,FRA,Online TA,0,2,No Deposit,Transient,121.83,2
City Hotel,0,29,2016,January,1,1,2,1.0,1,Undefined,DEU,Online TA,0,0,No Deposit,Transient,115.8,1
City Hotel,0,42,2016,January,1,1,2,0.0,1,HB,GBR,Offline TA/TO,0,0,No Deposit,Contract,106.8,0
City Hotel,1,137,2016,May,2,3,2,0.0,0,BB,ESP,Offline TA/TO,0,0,Non Refund,Transient,124.31,1
Resort Hotel,1,10,2017,December,1,3,1,1.0,0,SC,BEL,Groups,0,0,No Deposit,Transient,64.19,0
City Hotel,0,49,2017,June,0,3,1,0.0,0,BB,FRA,Offline TA/TO,0,0,No Deposit,Transient,160.61,2
Resort Hotel,0,26,2016,October,1,2,2,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,85.91,1
Resort Hotel,0,101,2016,November,0,1,3,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient-Party,67.99,1
City Hotel,1,79,2016,May,0,0,2,0.0,0,BB,PRT,Offline TA/TO,0,0,Non Refund,Transient,97.81,0
Resort Hotel,1,80,2017,September,4,2,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,158.16,0
Resort Hotel,1,85,2016,August,1,4,1,0.0,0,Undefined,USA,Online TA,0,0,No Deposit,Transient,161.02,0
City Hotel,0,57,2015,July,2,3,2,0.0,0,BB,GBR,Offline TA/TO,0,0,No Deposit,Transient,136.6,3
City Hotel,0,75,2016,April,0,1,1,0.0,0,BB,NLD,Direct,0,0,No Deposit,Transient,110.58,0
City Hotel,1,175,2016,September,0,2,2,1.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,167.08,0
City Hotel,1,58,2016,August,1,2,2,0.0,0,BB,ITA,Complementary,0,0,Non Refund,Transient,132.87,1
City Hotel,0,160,2017,May,2,0,1,1.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,133.6,1
