customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7434-KYGWR,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,75.32,752.65,Yes
6868-PQYPK,Female,0,Yes,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.32,841.93,No
7429-TVWHR,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.87,784.13,No
1624-KFTIZ,Male,1,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.56,1151.98,No
6383-HGSKS,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,78.81,1717.92,No
7644-JZEQM,Male,0,No,No,40,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,86.74,3444.51,No
7937-PCIUM,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.64,753.9,No
6131-OEQYR,Male,0,No,Yes,16,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,63.65,981.99,No
2974-WNAGO,Female,1,No,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,74.27,2995.5,No
4268-JEABN,Male,0,No,No,22,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),63.21,1408.41,No
5014-IIXDB,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),80.89,2105.61,No
5998-CQZRG,Male,0,No,No,12,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),61.59,760.47,No
9279-CFCWG,Male,0,No,No,20,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),55.93,1117.22,Yes
9607-ZQCWT,Female,0,No,Yes,58,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,71.43,4133.05,No
7874-EUFAG,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,93.7,1518.43,No
1610-MRAWJ,Female,1,Yes,No,72,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,61.0,4380.36,No
5665-IMJJP,Female,1,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),79.58,2177.43,No
6248-IGINH,Male,0,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.28,2431.28,Yes
2749-FQFIF,Female,1,No,Yes,14,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,71.94,1063.06,No
9455-FHSCF,Male,0,No,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.68,961.5,No
7325-YVQAY,Male,0,No,Yes,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),86.41,495.6,No
5217-HQNBZ,Male,1,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),29.68,629.03,No
9574-WGDNL,Female,0,No,No,14,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,76.71,1083.27,No
5373-FHUQL,Male,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.66,191.37,No
1603-WOTZK,Male,0,Yes,No,39,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,66.77,2624.94,No
1831-IRYIQ,Male,0,No,No,21,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.95,1312.0,No
7252-QHGMP,Male,0,No,No,26,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,73.55,1917.88,No
7467-OHDDD,Female,0,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.13,389.47,No
2935-OIVRI,Male,0,Yes,Yes,44,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),83.52,3678.76,No
2934-NUJDN,Male,0,Yes,Yes,30,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,90.76,2706.73,No
3214-XAVUX,Male,0,No,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,1140.08,No
9217-GLOKB,Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,94.04,1452.82,No
6895-BTFFB,Male,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.38,392.47,No
7298-HYPNU,Male,0,Yes,No,36,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,84.12,3005.85,Yes
9759-ARCSD,Male,0,No,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),89.19,6201.76,No
9424-XHEXX,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),80.93,1369.31,No
1543-VEHCS,Female,0,Yes,No,2,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.99,135.59,No
6262-SYVGE,Female,1,Yes,Yes,8,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),55.58,415.87,No
7280-FYJHQ,Male,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.4,1869.93,No
6946-RUGIJ,Female,0,No,No,20,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),57.26,1180.08,No
9608-UTLRP,Female,0,Yes,No,72,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,52.09,3753.49,No
9911-VKFRE,Female,0,No,No,10,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),70.84,690.0,Yes
5510-LRBZN,Male,0,No,No,36,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,91.29,3299.06,No
4632-RPOKW,Male,0,No,No,37,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),57.07,2103.5,Yes
6900-GXHUC,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),29.41,152.96,No
4062-BPNJC,Female,1,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.52,173.71,Yes
5823-LMFQR,Male,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,83.72,1774.09,Yes
6007-MDMNX,Male,0,Yes,Yes,38,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),63.86,2392.92,No
4060-QZJBT,Male,0,No,No,33,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),63.93,2117.98,No
6759-RKVXS,Female,1,No,Yes,22,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,74.38,1688.68,No
2282-GLYYH,Male,1,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.26,1559.78,Yes
4569-VXZVN,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.04,70.64,No
7508-SXYKR,Female,0,No,No,12,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),65.38,820.53,No
3174-KKFZI,Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),80.69,434.53,Yes
7489-LAFYQ,Male,0,No,No,32,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),57.59,1888.43,No
3499-JFJGS,Female,0,Yes,Yes,8,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,64.12,498.29,Yes
7760-PWLGG,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.27,1417.04,Yes
7935-RMPJY,Female,1,No,Yes,26,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),89.16,2281.58,Yes
4425-LJFCA,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),92.03,1127.39,No
1608-SGDTF,Male,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.34,1065.92,No
9006-XZQPN,Male,0,No,No,8,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),65.65,464.02,Yes
1538-SZODC,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),91.12,758.03,No
5694-MEPAJ,Male,0,Yes,Yes,11,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,65.69,733.51,No
8383-FHQIE,Male,0,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.23,1523.89,No
1467-WWFCS,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.47,1572.25,No
2281-WPVWQ,Female,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.54,146.56,No
1659-CVBVU,Male,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),90.47,6529.52,No
4850-IUEXA,Female,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.54,1166.91,No
3341-RLXTU,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,90.28,1511.08,Yes
8038-WCBYQ,Male,0,Yes,Yes,37,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,80.41,2974.92,No
1320-HGJYA,Female,1,Yes,Yes,52,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,71.99,3737.55,No
2935-UHDVJ,Male,1,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.53,1068.79,Yes
9955-CCANT,Female,0,No,No,52,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),76.42,4009.12,No
2713-FIBWI,Male,0,No,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.58,500.06,No
9055-JMZNY,Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.1,134.02,No
7609-WGCJL,Male,0,No,No,39,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),98.07,3827.51,No
1707-UMCNZ,Male,0,Yes,Yes,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,87.17,5889.35,No
1510-SEWAU,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),90.47,3059.38,No
7045-RPDWV,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),61.62,521.82,No
6917-UVEJW,Female,0,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.75,837.29,No
2726-BCDVF,Male,0,No,No,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,81.48,2428.57,No
3606-ORSRA,Male,0,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,85.23,3161.3,No
8017-GFLFG,Male,0,No,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.62,101.99,No
2229-ISKOZ,Female,0,Yes,Yes,5,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.99,321.82,No
6752-QNATD,Male,0,Yes,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.57,448.36,No
2106-UGAAI,Male,0,Yes,No,46,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,64.65,2960.53,No
5982-EKXDP,Female,0,No,No,41,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,64.45,2641.25,No
8871-XFNIT,Female,0,No,No,49,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,82.0,3985.97,No
4167-NMMOH,Male,1,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,84.03,3130.99,No
8143-KNDDN,Female,0,Yes,No,43,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.79,2428.08,No
6326-NGOML,Male,1,Yes,Yes,30,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),70.29,2102.28,No
5930-IVHIF,Female,0,Yes,No,22,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),66.35,1497.01,No
2820-SHYOX,Male,0,No,Yes,40,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),71.93,2908.71,No
1016-QZKPT,Female,0,Yes,No,8,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,51.5,421.96,No
9104-TIYGB,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.79,851.85,Yes
4904-NGEGA,Female,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.0,189.82,No
9735-VYUNY,Male,1,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,84.6,2423.12,Yes
1214-XSKPJ,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,77.36,659.12,No
7767-KDZQB,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),76.97,127.32,Yes
1949-BFQUJ,Male,0,Yes,Yes,6,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.61,353.24,Yes
4376-NQNOB,Female,0,No,Yes,67,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),95.67,6402.04,No
2083-IFJDN,Male,0,Yes,No,29,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,66.8,1977.87,No
5527-ZZDZX,Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.08,1299.71,No
6844-KGVWE,Female,0,Yes,No,5,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,68.02,328.28,Yes
